Quantity,Unit_Price,Total_Sales,Category,Performance_Score,Region
8,360.9254475005369,2887.4035800042952,Beauty,20.823451145091575,South
3,246.83786407599075,740.5135922279723,Electronics,2.002670589178493,East
2,235.57129933891818,471.14259867783636,Beauty,0.8494495672410313,South
5,358.2243720864526,1791.121860432263,Beauty,8.073286588231563,North
10,145.04940497885053,1450.4940497885054,Books,13.075887707206157,West
3,160.7900470847844,482.37014125435314,Books,1.3045385056086447,West
8,42.28787168653854,338.3029734923083,Books,2.439782055249032,West
7,99.01488204703443,693.104174329241,Clothing,4.373728143160958,West
6,340.57866444491737,2043.471986669504,Beauty,11.05287273715102,West
4,32.17248681871057,128.68994727484227,Books,0.46404473009936875,East
4,261.8100450306771,1047.2401801227084,Books,3.776256786370279,South
4,382.9737480885616,1381.9756075398602,Electronics,4.98328355388264,East
9,365.0073994553253,3285.066595097928,Clothing,26.652743403540352,North
2,58.078844070817766,116.15768814163553,Books,0.2094272481421295,South
10,424.04314699161495,4240.43146991615,Books,38.22656545113813,South
4,256.3970227133852,1025.5880908535407,Beauty,3.6981812401930796,North
6,381.9274239565255,2291.564543739153,Beauty,12.39477293358797,South
3,253.3945362377179,760.1836087131537,Beauty,2.0558668625716785,East
6,147.6700330428404,886.0201982570425,Clothing,4.7923673814787,South
8,308.1933203304424,2465.5465626435393,Clothing,17.781091894704872,West
10,444.07485626975847,4440.748562697585,Electronics,40.03238038117935,South
2,61.34715853845215,122.6943170769043,Electronics,0.2212125051659293,West
8,409.1405151181885,3273.124120945508,Books,23.6052004286246,East
4,356.2736735692886,1425.0946942771543,Beauty,5.138767221339629,North
8,56.9185541318253,455.3484330546024,Books,3.283893500503456,East
8,443.09296540444274,3544.743723235542,Clothing,25.564073638280767,North
1,268.11396049659066,268.11396049659066,Books,0.24169889153967278,South
2,231.14652967597513,462.29305935195026,Books,0.8334942336079614,West
6,210.89908273984412,1265.3944964390648,Clothing,6.84435334698538,West
1,105.58405467677473,105.58405467677473,Electronics,0.09518172396683224,East
3,189.40150726292492,568.2045217887747,Electronics,1.5366719751908222,South
8,130.46075180319988,1043.686014425599,Clothing,7.526881549469601,East
10,223.5888815469973,2235.888815469973,Books,20.15605033412336,North
6,63.486221613877674,380.9173296832661,Electronics,2.060332021104173,West
4,374.68985443852665,1498.7594177541066,Beauty,5.40439579177257,East
1,494.9820313754643,494.9820313754643,Clothing,0.44621551258994047,West
5,238.46826394979348,1192.3413197489674,Beauty,5.374348556608274,West
1,123.70312920332375,123.70312920332375,Beauty,0.11151567472672677,East
2,130.20854845889502,260.41709691779005,Clothing,0.469520673570519,West
5,114.3490062553831,571.7450312769155,Clothing,2.5770784193220564,North
2,470.30515259506393,940.6103051901279,Beauty,1.6958793769199356,South
7,279.6846173593386,1957.79232151537,Books,12.354349738786368,South
4,427.85343195926345,1711.4137278370538,Clothing,6.1712086937637105,East
9,66.02437165497035,594.2193448947331,Beauty,4.821082089639358,South
10,429.20437073509197,4292.04370735092,Beauty,38.69183852213978,South
9,499.2920328771543,4493.628295894389,Clothing,36.4581716851896,West
10,370.4854784472115,3704.854784472115,Books,33.398458366876056,East
2,483.61386347222174,967.2277269444435,Beauty,1.7438694280291458,North
5,403.8705571709468,2019.352785854734,Books,9.102012611813361,North
9,492.62463357378573,4433.621702164071,Beauty,35.97131995816487,North
10,247.471397380179,2474.71397380179,Books,22.309007081831435,West
4,473.3033819707316,1893.2135278829264,Clothing,6.826762922597391,South
2,58.37123289517436,116.74246579034872,Electronics,0.21048157675097456,East
5,12.312068048276856,61.56034024138428,Clothing,0.2774765247506926,North
5,103.86196313939064,519.3098156969531,Electronics,2.3407323995204905,West
10,399.71683868556397,3997.1683868556397,Beauty,36.03360177929695,West
3,88.30094996043863,264.9028498813159,Beauty,0.7164124359294064,East
4,258.6256195689741,1034.5024782758965,Books,3.7303257440413375,North
1,321.62831596417493,321.62831596417493,Clothing,0.2899409165875987,East
3,315.75940079115975,947.2782023734792,Beauty,2.5618519573091216,North
10,74.80787693389564,748.0787693389564,Beauty,6.743767053334303,West
3,319.0734895835019,957.2204687505057,Beauty,2.5887401666168577,North
3,438.68613795109655,1316.0584138532897,Beauty,3.559193925306753,West
4,476.6845381283088,1906.7381525132353,Electronics,6.875531539876123,West
7,21.247119645791564,148.72983752054094,Books,0.9385369475243436,West
4,300.0348147315161,1200.1392589260645,Electronics,4.3275975340995,South
6,191.73945676908974,1150.4367406145384,Electronics,6.222561879538916,West
5,100.01374995720299,500.06874978601496,Books,2.2540053918312606,North
6,465.3086230986457,2791.851738591874,Beauty,15.100760944583744,East
